ticker,shortName,sector,current_rank,current_score,current_score_status,staged_rank,staged_score,staged_score_status,pushed_rank,pushed_score,pushed_score_status,rank_vs_staged,score_vs_staged,movement_vs_staged,staged_rank_vs_pushed,staged_score_vs_pushed,staged_movement_vs_pushed,rank_vs_pushed,score_vs_pushed,movement_vs_pushed
GESHIP,THE GE SHPG.LTD,Industrials,1,68,ranked,1,66.4,ranked,1,66.4,ranked,0,1.6,unchanged,0,0,unchanged,0,1.6,unchanged
NATIONALUM,NATIONAL ALUMINIUM CO LTD,Basic Materials,2,67.1,ranked,42,59.2,ranked,42,59.2,ranked,40,7.9,up,0,0,unchanged,40,7.9,up
OFSS,ORACLE FIN SERV SOFT LTD.,Technology,3,66.8,ranked,4,62,ranked,4,62,ranked,1,4.8,up,0,0,unchanged,1,4.8,up
SOTL,SAVITA OIL TECHNOLO. LTD,Basic Materials,4,65.6,ranked,161,56.4,ranked,161,56.4,ranked,157,9.2,up,0,0,unchanged,157,9.2,up
PANAMAPET,PANAMA PETROCHEM LTD,Energy,5,64.7,ranked,33,59.6,ranked,33,59.6,ranked,28,5.1,up,0,0,unchanged,28,5.1,up
HINDCOPPER,HINDUSTAN COPPER LTD,Basic Materials,6,64.2,ranked,12,61.4,ranked,12,61.4,ranked,6,2.8,up,0,0,unchanged,6,2.8,up
HINDZINC,HINDUSTAN ZINC LIMITED,Basic Materials,7,64.1,ranked,19,60.6,ranked,19,60.6,ranked,12,3.5,up,0,0,unchanged,12,3.5,up
MCX,MULTI COMMODITY EXCHANGE,Financial Services,8,63.5,ranked,2,63,ranked,2,63,ranked,-6,0.5,down,0,0,unchanged,-6,0.5,down
GPPL,GUJARAT PIPAVAV PORT LTD,Industrials,9,63.5,ranked,8,61.6,ranked,8,61.6,ranked,-1,1.9,down,0,0,unchanged,-1,1.9,down
EMMVEE,EMMVEE PHOTOVOLTAIC PWR L,Technology,10,63.4,ranked,83,57.9,ranked,83,57.9,ranked,73,5.5,up,0,0,unchanged,73,5.5,up
DBCORP,D.B.CORP LTD,Communication Services,11,63.4,ranked,272,54.6,ranked,272,54.6,ranked,261,8.8,up,0,0,unchanged,261,8.8,up
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,Technology,12,63.1,ranked,25,60.2,ranked,25,60.2,ranked,13,2.9,up,0,0,unchanged,13,2.9,up
LOTUSDEV,SRI LOTUS DEVLPRS N RTY L,Industrials,13,62.9,ranked,224,55.2,ranked,224,55.2,ranked,211,7.7,up,0,0,unchanged,211,7.7,up
GANDHAR,GANDHAR OIL REFINE IND L,Energy,14,62.8,ranked,256,54.8,ranked,256,54.8,ranked,242,8,up,0,0,unchanged,242,8,up
GANDHITUBE,GANDHI SPL. TUBES LTD,Industrials,15,62.8,ranked,112,57.2,ranked,112,57.2,ranked,97,5.6,up,0,0,unchanged,97,5.6,up
CHENNPETRO,CHENNAI PETROLEUM CORP LT,Energy,16,62.8,ranked,144,56.6,ranked,144,56.6,ranked,128,6.2,up,0,0,unchanged,128,6.2,up
PETRONET,PETRONET LNG LIMITED,Energy,17,62.6,ranked,43,59.2,ranked,43,59.2,ranked,26,3.4,up,0,0,unchanged,26,3.4,up
IMFA,INDIAN METALS & FERRO,Basic Materials,18,62.5,ranked,70,58.4,ranked,70,58.4,ranked,52,4.1,up,0,0,unchanged,52,4.1,up
MUTHOOTFIN,MUTHOOT FINANCE LIMITED,Financial Services,19,62.4,ranked,9,61.5,ranked,9,61.5,ranked,-10,0.9,down,0,0,unchanged,-10,0.9,down
GROWW,BILLIONBRAINS GARAGE VN L,Financial Services,20,62.4,ranked,30,59.8,ranked,30,59.8,ranked,10,2.6,up,0,0,unchanged,10,2.6,up
PNGSREVA,PNGS REVA DIAMOND JEWEL L,Consumer Cyclical,21,62.2,ranked,48,59.1,ranked,48,59.1,ranked,27,3.1,up,0,0,unchanged,27,3.1,up
SIYSIL,SIYARAM SILK MILLS LTD,Consumer Cyclical,22,62.2,ranked,67,58.5,ranked,67,58.5,ranked,45,3.7,up,0,0,unchanged,45,3.7,up
GRINFRA,G R INFRAPROJECTS LIMITED,Industrials,23,62.1,ranked,356,53.7,ranked,356,53.7,ranked,333,8.4,up,0,0,unchanged,333,8.4,up
CRAMC,CANARA ROBECO AMC LIMITED,Financial Services,24,62.1,ranked,139,56.7,ranked,139,56.7,ranked,115,5.4,up,0,0,unchanged,115,5.4,up
GHCL,GHCL LIMITED,Basic Materials,25,62,ranked,127,56.9,ranked,127,56.9,ranked,102,5.1,up,0,0,unchanged,102,5.1,up
HUHTAMAKI,HUHTAMAKI INDIA LIMITED,Consumer Cyclical,26,62,ranked,725,50.1,ranked,725,50.1,ranked,699,11.9,up,0,0,unchanged,699,11.9,up
GULFOILLUB,GULF OIL LUB. IND. LTD.,Basic Materials,27,61.9,ranked,73,58.3,ranked,73,58.3,ranked,46,3.6,up,0,0,unchanged,46,3.6,up
WONDERLA,WONDERLA HOLIDAYS LTD.,Consumer Cyclical,28,61.9,ranked,119,57.1,ranked,119,57.1,ranked,91,4.8,up,0,0,unchanged,91,4.8,up
SUNTV,SUN TV NETWORK LIMITED,Communication Services,29,61.8,ranked,156,56.5,ranked,156,56.5,ranked,127,5.3,up,0,0,unchanged,127,5.3,up
