ticker,shortName,sector,industry,currentPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,trailingPE,forwardPE,priceToBook,pegRatio,returnOnEquity,returnOnAssets,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,revenueGrowth,profitMargins,operatingMargins,grossMargins,ebitdaMargins,dividendYield,marketCap,currentRatio,quickRatio,freeCashflow,totalCashPerShare,bookValue,targetMeanPrice,targetHighPrice,targetLowPrice,recommendationMean,numberOfAnalystOpinions,twoHundredDayAverage,fiftyDayAverage,fiftyTwoWeekChangePercent,beta,enterpriseToEbitda,enterpriseValue,trailingEps,forwardEps,heldPercentInsiders,heldPercentInstitutions
RELIANCE,RELIANCE INDUSTRIES LTD,Energy,Oil & Gas Refining & Marketing,1313.199951171875,1611.800048828125,1249.800048828125,23.794165,18.334925,1.9657358,0.82,0.0893499109542824,0.0370843931060446,36.653,-0.224,-0.224,0.297,0.066149995,0.12331,0.33837003,0.15991001,0.46,17770841762530.758,1.097911516589254,0.7894777682936293,691970000000.0,190.761,668.045,1673.0,1890.0,1350.0,1.2963,28.0,1400.310002441406,1306.1340014648438,-7.062990009067582,0.157,11.602,20957961912320.0,55.19,71.62287,0.51798,0.28105
HDFCBANK,HDFC BANK LTD,Financial Services,Banks - Regional,725.0499877929688,1020.5,715.0999755859375,15.858486,11.582269,1.8411022,0.89,0.13838,0.0175,81.34343829261803,0.181,0.184,0.166,0.26787,0.33291999,0.0,0.0,1.81,11173745205541.443,,,1065776300000.0,154.436,393.813,1025.2,1400.0,896.0,1.2,40.0,853.6075,771.2180017089844,-27.064681058299666,0.414,,14596795531264.0,45.72,62.6,0.00153,0.61047
BHARTIARTL,BHARTI AIRTEL LIMITED,Communication Services,Telecom Services,1941.699951171875,2174.5,1740.5,40.57041,23.616293,7.4830713,1.155852136752137,0.20151,0.08163,100.415,0.351,0.373,0.184,0.1314,0.32573003,0.67856,0.52137,1.25,12113601583634.035,0.57,0.358,630565896192.0,93.662,259.479,2320.6365,2750.0,1800.0,1.48485,33.0,1945.3420025634769,1915.6719995117187,0.6896871286782735,0.01,12.033,13804927713280.0,47.86,82.21866,0.53145003,0.36514
ICICIBANK,ICICI BANK LTD.,Financial Services,Banks - Regional,1411.9000244140625,1480.0,1187.5999755859375,18.24396,15.020213,2.6620686,0.53,0.16073999,0.021070002,57.1853421694851,0.138,0.139,0.114,0.27531,0.38509998,0.0,0.0,0.86,10127950392344.84,,,635954240000.0,103.153,530.377,1734.5853,1970.0,1592.0,1.12195,41.0,1351.8270025634763,1406.7619995117188,-1.307140464909906,0.261,,11757350289408.0,77.39,94.0,0.03531,0.59016997
SBIN,STATE BANK OF INDIA,Financial Services,Banks - Regional,1048.0,1234.699951171875,798.5,11.203763,10.009641,1.5554062,0.53,0.15177,0.01132,121.93500751464356,0.099,0.137,0.103,0.22376,0.35717,0.0,0.0,1.65,9673687171072.0,,,297344318000.0,229.685,673.779,1262.6578,1390.0,1070.0,1.41026,38.0,1036.272996826172,1040.426993408203,26.42499361448356,0.385,,15962510196736.0,93.54,104.69906,0.57231,0.29157
TCS,TATA CONSULTANCY SERV LT,Technology,Information Technology Services,2298.0,3350.0,1976.800048828125,16.704222,14.147827,7.583808,3.02,0.47743,0.24479,10.211,0.046,0.046,0.139,0.18052,0.23963,0.40389,0.26125,2.84,8314365149184.0,2.276,2.045,397165002752.0,124.461,303.014,2460.0488,3480.0,1800.0,2.14634,41.0,2638.460494995117,2232.582009277344,-25.837477326029124,0.164,11.039,7955792527360.0,137.57,162.42776,0.71794,0.17739001
BAJFINANCE,BAJAJ FINANCE LIMITED,Financial Services,Credit Services,1095.0,1176.4000244140625,787.9000244140625,33.681946,21.675667,5.9724774,1.2383068382352942,0.17907,0.03768,314.833,0.272,0.274,0.261,0.43495,0.61552,0.91551,0.0,0.5,6811899920384.0,2.692,2.593,-667509000000.0,7.625,183.341,1152.6945,1320.0,815.0,1.91667,36.0,974.4780010986328,1039.7150061035156,23.338591468346515,0.323,,10382096728064.0,32.51,50.51748,0.56525004,0.27122
LT,LARSEN & TOUBRO LTD.,Industrials,Engineering & Construction,4081.0,4440.0,3288.10009765625,33.886906,22.641441,5.136758,1.06,0.16951999,0.045900002,97.64,0.14,0.14,0.081,0.05588,0.10609999,0.37425,0.117060006,0.94,5614909521920.0,1.251,0.845,261954764800.0,556.941,794.47,4501.533,5060.0,3550.0,1.67742,30.0,3980.342498779297,4013.159990234375,13.604096109157094,0.508,17.956,6240568606720.0,120.43,180.2447,0.18086,0.52688
LICI,LIFE INSURA CORP OF INDIA,Financial Services,Insurance - Life,419.0,468.4750061035156,360.75,8.819197,7.124985,3.0012393,0.220479925,0.40769002,0.0069199996,0.431,0.4,0.19,0.068,0.06515,0.06426,0.11083999,0.06803,2.42,5300348256256.0,5.979,3.548,96183173120.0,57.82,139.609,525.8261,675.0,388.0,1.52174,23.0,418.36812591552734,422.6329992675781,-6.821590843538649,0.543,6.645,4504667291648.0,47.51,58.80714,0.89999,0.01033
HINDUNILVR,HINDUSTAN UNILEVER LTD.,Consumer Defensive,Household & Personal Products,2028.0,2750.0,2008.300048828125,45.006657,38.09695,9.776509,3.69,0.21603,0.10715,3.016,0.084,-0.03,0.05,0.22644,0.20725,0.50369,0.22479,2.18,4764971040768.0,1.223,0.7,65247498240.0,29.763,207.436,2457.4211,2860.0,1804.0,1.94872,38.0,2249.9985021972657,2131.4660107421873,-24.039255265945293,0.332,31.623,4695359225856.0,45.06,53.23261,0.62274,0.2085
INFY,INFOSYS LIMITED,Technology,Information Technology Services,1130.0,1728.0,982.4000244140624,14.582527,14.135787,4.9910316,2.09,0.32,0.15297,9.541,0.053,0.012,0.029,0.16370001,0.21173,0.29676,0.2208,4.47,4576639451136.0,1.862,1.594,3165625088.0,0.771,226.4061,1201.2858,1610.0,940.0,1.90244,42.0,1327.362000427246,1100.3099963378909,-24.47533505699253,0.107,1011.3,4532647493632.0,77.49,79.93895,0.16542,0.52528
ADANIPOWER,ADANI POWER LTD,Utilities,Utilities - Independent Power Producers,204.0,254.1999969482422,116.6999969482422,27.604872,25.688068,6.058266,0.6217313513513514,0.20908001,0.07479,82.332,0.444,0.42,0.34,0.24148001,0.35876998,0.43477002,0.37247002,0.0,3934077845504.0,1.411,0.793,-86567624704.0,1.263,33.673,252.55556,282.0,220.0,1.44444,9.0,180.19565048217777,216.94500091552737,70.01417087415163,0.475,20.336,4471454695424.0,7.39,7.94143,0.71742994,0.18915
SUNPHARMA,SUN PHARMACEUTICAL IND L,Healthcare,Drug Manufacturers - Specialty & Generic,1904.0,2046.9000244140625,1548.0,37.815292,29.504345,5.4664736,1.04,0.1472,0.0847,5.517,0.274,0.27,0.105,0.20188999,0.23247999,0.78924006,0.2768,0.84,4568333680640.0,2.824,2.183,59483811840.0,139.691,348.305,2167.2122,2400.0,1830.0,1.73529,33.0,1793.2270025634766,1911.804001464844,16.58808575493773,0.124,25.767,4272940384256.0,50.35,64.53287,0.55609,0.30964002
ADANIPORTS,ADANI PORT & SEZ LTD,Industrials,Marine Shipping,1696.0,1891.0999755859375,1292.0,28.976593,21.69934,4.0720778,12.073580416666667,0.15592,0.06764,64.051,0.024,0.092,0.186,0.32431,0.4463,0.64402,0.57613,0.45,3907514531840.0,1.394,0.987,-31920062464.0,31.618,416.495,2037.0834,2200.0,1766.0,1.33333,24.0,1596.682001953125,1773.9839965820313,23.74142931638041,0.507,19.175,4466398461952.0,58.53,78.15906,0.66060996,0.23457001
MARUTI,MARUTI SUZUKI INDIA LTD.,Consumer Cyclical,Auto Manufacturers,13809.0,17370.0,12201.0,30.290865,22.836622,4.051619,0.77,0.14434,0.06549,0.096,-0.091,-0.091,0.359,0.07269,0.04828,0.26352,0.10764,1.02,4341584887808.0,1.068,0.622,77131751424.0,551.69,3408.267,15876.789,17688.0,12850.0,1.57895,38.0,14415.525,13823.52,-2.897123971591309,0.239,19.467,4131868901376.0,455.88,604.68665,0.61585,0.25991
AXISBANK,AXIS BANK LIMITED,Financial Services,Banks - Regional,1251.0,1418.300048828125,1042.5,14.087837,9.889328,1.7434398,0.54,0.13352999,0.01535,130.4486076359073,0.218,0.222,0.14,0.36031,0.49181998,0.0,0.0,0.08,3894244802560.0,,,-108467100000.0,436.161,717.547,1584.425,1780.0,1430.0,1.3,40.0,1287.7045013427737,1294.4980029296876,15.811891922678711,0.416,,5344441401344.0,88.8,126.5,0.03328,0.71291
ADANIENT,ADANI ENTERPRISES LIMITED,Energy,Thermal Coal,2994.89990234375,3245.0,1753.0,52.16687,44.443504,4.7839484,1.6529237621124144,0.13664,0.02181,119.56,0.31560360614171,-1.301757388339389,0.499,0.06546,0.09395,0.43306,0.1342,0.04,4261662810413.756,1.035,0.421,-315140669440.0,75.876,626.031,3737.3333,3830.0,3638.0,,3.0,2481.9504669189455,3056.2860009765627,25.4618482603332,0.808,32.874,4916165214208.0,57.41,67.38667,0.74998003,0.18270999
KOTAKBANK,KOTAK MAHINDRA BANK LTD,Financial Services,Banks - Regional,397.3500061035156,453.2000122070313,345.5,19.4684,15.55186,2.1808333,0.94,0.1341999999999999,0.0192234403222983,52.637921410590394,0.225,0.225,0.21,0.28467,0.34761003,0.0,0.0,0.17,3952227970340.405,,,406685443000.0,73.325,182.201,462.52777,518.0,380.0,1.69444,36.0,400.60670013427733,391.9599993896484,-1.5241620561299518,0.275,,4267576918016.0,20.41,25.55,0.30534,0.47465
NTPC,NTPC LTD,Utilities,Utilities - Regulated Electric,337.5,414.3999938964844,315.54998779296875,10.3179455,11.931314,1.6114093,,0.13695,0.041160002,118.127,-0.016,-0.016,0.08,0.14531,0.18428,0.48183,0.30857,3.67,3272625094656.0,0.825,0.392,-80749338624.0,13.21,209.444,433.07144,485.0,365.0,1.33333,28.0,357.84225006103514,348.9979998779297,-1.3157894736842146,0.3,7.429,4379948351488.0,32.71,28.28691,0.53998,0.38467997
