ticker,shortName,sector,currentPrice,pct_below_52w_high,trailingPE,roe_pct,debtToEquity,promoter_pct,institutional_pct,institutions_count,avg_delivery_pct,delivery_trend,score,ownership_score,shareholding_score,final_score,reasons,shareholding_reasons
INDOTHAI,INDO THAI SEC LTD,Financial Services,62.79999923706055,86.53371964937408,11.629629,28.285998,8.366,59.2,0.0,0.0,76.7,31.0,15,4,2,21,87% below 52w high; ROE 28%; low D/E 8; margin 64%; earnings +18%; rev +43%; PE 12,strong promoter 59.2%
JARO,JARO INS OF TEC MG N RE L,Consumer Defensive,440.0499877929687,50.55618114685745,16.630764,19.894,2.159,69.9,4.9,3.0,33.2,8.8,15,2,2,19,51% below 52w high; ROE 20%; low D/E 2; margin 20%; earnings +41%; rev +17%; PE 17,strong promoter 69.9%
GANDHITUBE,GANDHI SPL. TUBES LTD,Industrials,894.9500122070312,13.263232229589663,14.566244,23.506,0.032,76.7,0.0,0.0,72.0,6.6,12,4,2,18,ROE 24%; low D/E 0; margin 37%; earnings +29%; rev +19%; PE 15,strong promoter 76.7%; ⚠ very high promoter = low float
IDBI,IDBI BANK LIMITED,Financial Services,81.73999786376953,30.95117438735244,9.427912,13.874,33.69653805154797,45.6,49.8,50.0,43.2,7.0,13,2,3,18,31% below 52w high; low D/E 34; margin 49%; earnings +21%; PE 9,promoter 45.6%; high institutional 49.8%
GILLETTE,GILLETTE INDIA LTD,Consumer Defensive,7512.0,30.05586592178771,45.914062,66.443,0.002,77.9,11.0,56.0,54.8,6.3,12,3,2,17,30% below 52w high; ROE 66%; low D/E 0; margin 21%; rev +11%,strong promoter 77.9%; ⚠ very high promoter = low float
COALINDIA,COAL INDIA LTD,Energy,402.5,18.06615776081425,7.9608383,28.124001999999997,11.629,61.1,26.4,170.0,64.1,0.7,12,2,3,17,ROE 28%; low D/E 12; margin 18%; rev +45%; PE 8,strong promoter 61.1%; institutional 26.4%
HDFCBANK,HDFC BANK LTD,Financial Services,725.0499877929688,28.95149556168851,15.858486,13.838,81.34343829261803,0.2,61.0,471.0,65.6,0.7,12,2,3,17,29% below 52w high; margin 27%; earnings +18%; rev +17%; PE 16,high institutional 61.0%; 471 institutions
TCS,TATA CONSULTANCY SERV LT,Technology,2298.0,31.402985074626866,16.704222,47.743,10.211,71.8,17.7,317.0,48.9,0.9,13,1,3,17,31% below 52w high; ROE 48%; low D/E 10; margin 18%; rev +14%; PE 17,strong promoter 71.8%; 317 institutions
ECLERX,ECLERX SERVICES LTD,Technology,1804.800048828125,27.735733780655657,23.387327,28.999999999999996,15.012,58.1,32.3,70.0,43.5,7.3,12,2,3,17,28% below 52w high; ROE 29%; low D/E 15; margin 17%; earnings +19%; rev +23%,strong promoter 58.1%; institutional 32.3%
VEDL,VEDANTA LIMITED,Basic Materials,268.0,66.28930817610062,11.769873,20.403999,48.044,57.1,18.1,207.0,48.3,0.6,14,1,2,17,66% below 52w high; ROE 20%; low D/E 48; margin 23%; earnings +72%; PE 12,strong promoter 57.1%
SOLARWORLD,SOLARWORLD ENERGY SOL LTD,Technology,149.82000732421875,61.43629155103765,10.028113,20.828,30.132,78.1,8.5,2.0,53.0,-0.6,14,1,2,17,61% below 52w high; ROE 21%; low D/E 30; earnings +346%; rev +236%; PE 10,strong promoter 78.1%; ⚠ very high promoter = low float
GMBREW,G M BREWERIES LTD,Consumer Defensive,883.2000122070312,33.53401717693121,11.965858,19.71,3.201,77.4,0.3,4.0,55.9,0.3,14,1,2,17,34% below 52w high; ROE 20%; low D/E 3; earnings +46%; rev +26%; PE 12,strong promoter 77.4%; ⚠ very high promoter = low float
VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,Consumer Cyclical,226.8500061035156,22.642794167599103,13.470902,17.754,25.234,59.3,15.3,23.0,46.2,11.3,12,3,2,17,23% below 52w high; low D/E 25; earnings +49%; rev +13%; PE 13,strong promoter 59.3%
MCLOUD,MAGELLANIC CLOUD LIMITED,Technology,29.56999969482422,67.32596718803954,16.801136,18.974,42.501,72.3,0.0,4.0,36.9,-3.2,15,0,2,17,67% below 52w high; ROE 19%; low D/E 43; margin 16%; earnings +32%; rev +32%; PE 17,strong promoter 72.3%
NEWGEN,NEWGEN SOFTWARE TECH LTD,Technology,527.3499755859375,49.3881663900622,23.754503,24.5,2.214,63.4,8.9,51.0,29.1,8.3,13,2,2,17,49% below 52w high; ROE 24%; low D/E 2; margin 19%; earnings +28%; rev +11%,strong promoter 63.4%
EXCELSOFT,EXCELSOFT TECHNOLOGIES L,Technology,70.87999725341797,50.2910449022973,17.458128,9.1359995,1.137,63.4,1.7,2.0,48.0,7.7,12,3,2,17,50% below 52w high; low D/E 1; margin 16%; earnings +33%; rev +44%; PE 17,strong promoter 63.4%
NDRAUTO,NDR AUTO COMPONENTS LTD,Consumer Cyclical,773.7999877929688,34.78847094945625,28.385912,18.77,17.248,0.1,73.2,3.0,52.0,7.1,12,3,2,17,35% below 52w high; ROE 19%; low D/E 17; earnings +21%; rev +20%,high institutional 73.2%
INDIASHLTR,INDIA SHELTER FIN CORP L,Financial Services,675.2999877929688,30.291614163306452,14.255858,17.036,195.303,28.5,56.1,34.0,56.1,6.1,12,3,2,17,30% below 52w high; margin 48%; earnings +22%; rev +22%; PE 14,high institutional 56.1%
TRANSRAILL,TRANSRAIL LIGHTING LTD,Industrials,459.8500061035156,44.12515114173565,15.272335,19.392,29.726,76.0,0.6,17.0,52.3,6.3,12,3,2,17,44% below 52w high; ROE 19%; low D/E 30; PE 15,strong promoter 76.0%; ⚠ very high promoter = low float
CSBBANK,CSB BANK LIMITED,Financial Services,320.8999938964844,44.13301179368333,8.374217,13.483,146.17951878829493,55.5,16.7,27.0,54.8,6.9,12,3,2,17,44% below 52w high; margin 24%; earnings +26%; rev +17%; PE 8,strong promoter 55.5%
SUNCLAY,SUNDARAM CLAYTON LIMITED,Industrials,1275.9000244140625,34.29968978300399,11.215717,22.271,100.167,64.5,20.0,10.0,58.7,11.6,12,3,2,17,34% below 52w high; ROE 22%; earnings +184%; rev +15%; PE 11,strong promoter 64.5%
GKENERGY,GK ENERGY LIMITED,Utilities,123.98999786376952,48.251254296629064,10.323896,37.255,23.151,82.2,3.4,4.0,49.9,2.9,14,1,2,17,48% below 52w high; ROE 37%; low D/E 23; earnings +34%; rev +56%; PE 10,strong promoter 82.2%; ⚠ very high promoter = low float
CRAMC,CANARA ROBECO AMC LIMITED,Financial Services,264.29998779296875,25.212226271179343,24.114962,30.286,2.358,75.0,9.0,15.0,51.3,5.2,12,3,2,17,25% below 52w high; ROE 30%; low D/E 2; margin 46%; earnings +24%; rev +20%,strong promoter 75.0%; ⚠ very high promoter = low float
IOC,INDIAN OIL CORP LTD,Energy,135.89999389648438,28.080022720219823,5.560556,20.969999,58.446,73.4,14.3,193.0,54.7,6.5,12,3,2,17,28% below 52w high; ROE 21%; earnings +78%; rev +38%; PE 6,strong promoter 73.4%
NESCO,NESCO LTD.,Industrials,1032.5999755859375,36.99432789043301,17.50763,14.673,9.068,70.2,4.7,34.0,54.2,0.9,13,1,2,16,37% below 52w high; low D/E 9; margin 39%; rev +15%; PE 18,strong promoter 70.2%
CAMPUS,CAMPUS ACTIVEWEAR LIMITED,Consumer Cyclical,223.11000061035156,24.8787876732823,44.35586,18.053,26.059,72.1,18.1,35.0,45.0,5.0,11,3,2,16,25% below 52w high; ROE 18%; low D/E 26; earnings +19%; rev +12%,strong promoter 72.1%
BBTC,BOMBAY BURMAH TRADING COR,Consumer Defensive,1436.0,32.740046838407494,7.7638407,28.709,16.57,75.2,7.0,45.0,55.9,1.7,13,1,2,16,33% below 52w high; ROE 29%; low D/E 17; earnings +20%; PE 8,strong promoter 75.2%; ⚠ very high promoter = low float
RAMKY,RAMKY INFRA LTD,Industrials,391.1499938964844,44.5177313622008,11.4706745,13.379,27.392,73.8,0.4,7.0,62.3,7.8,10,4,2,16,45% below 52w high; low D/E 27; rev +24%; PE 11,strong promoter 73.8%
AGIIL,AGI INFRA LIMITED,Real Estate,293.70001220703125,32.38949900238289,35.258106,24.336,38.289,83.1,0.2,3.0,30.1,7.7,12,2,2,16,32% below 52w high; ROE 24%; low D/E 38; margin 29%; earnings +34%,strong promoter 83.1%; ⚠ very high promoter = low float
VEEDOL,VEEDOL CORPORATION LTD,Basic Materials,1510.4000244140625,25.778868579161543,11.675041,19.657,1.534,66.6,2.0,7.0,57.0,-0.2,13,1,2,16,26% below 52w high; ROE 20%; low D/E 2; earnings +57%; rev +18%; PE 12,strong promoter 66.6%
MBEL,M AND B ENGINEERING LTD,Industrials,278.1000061035156,48.10599114870687,15.846155,19.226,12.711,71.9,9.3,6.0,50.4,1.8,13,1,2,16,48% below 52w high; ROE 19%; low D/E 13; rev +22%; PE 16,strong promoter 71.9%
DDEVPLSTIK,DDEV PLASTIKS IND LTD,Basic Materials,276.5,23.194444444444446,14.179487,21.841,5.608,82.2,0.1,2.0,52.9,2.2,13,1,2,16,23% below 52w high; ROE 22%; low D/E 6; earnings +22%; rev +29%; PE 14,strong promoter 82.2%; ⚠ very high promoter = low float
MEDIASSIST,MEDI ASSIST HEALTH SER L,Healthcare,355.8999938964844,38.163495535594514,28.112164,12.717,6.382,13.6,62.8,32.0,58.3,5.7,11,3,2,16,38% below 52w high; low D/E 6; earnings +17%; rev +24%,high institutional 62.8%
GVT&D,GE VERNOVA T&D INDIA LTD,Industrials,4050.10009765625,28.316812430862832,79.66365,55.261004,0.892,51.7,29.9,219.0,52.6,2.5,12,1,3,16,28% below 52w high; ROE 55%; low D/E 1; margin 19%; earnings +25%; rev +38%,strong promoter 51.7%; institutional 29.9%
CIEINDIA,CIE AUTOMOTIVE INDIA LTD,Consumer Cyclical,403.7999877929687,23.231941484226475,17.088448,12.26999999999999,6.63,66.4,22.6,51.0,61.9,-0.6,12,2,2,16,23% below 52w high; low D/E 7; earnings +16%; rev +11%; PE 17,strong promoter 66.4%
INDIAMART,INDIAMART INTERMESH LTD,Communication Services,1749.199951171875,34.852888224511176,21.368189,23.146,0.974,57.9,14.9,63.0,64.5,2.9,12,2,2,16,35% below 52w high; ROE 23%; low D/E 1; margin 31%; rev +11%,strong promoter 57.9%
MAYURUNIQ,MAYUR UNIQUOTERS LTD,Consumer Cyclical,776.0499877929688,14.437708071337513,16.272804,18.365,0.687,61.0,4.6,14.0,55.4,0.1,13,1,2,16,ROE 18%; low D/E 1; margin 20%; earnings +38%; rev +25%; PE 16,strong promoter 61.0%
IRCTC,INDIAN RAIL TOUR CORP LTD,Consumer Cyclical,485.8999938964844,34.24898594093581,27.877222,34.959,1.874,62.4,16.8,96.0,52.2,6.1,11,3,2,16,34% below 52w high; ROE 35%; low D/E 2; margin 26%; rev +18%,strong promoter 62.4%
PRUDENT,PRUDENT CORP ADV SER LTD,Financial Services,3363.5,2.6483357452966714,56.960205,28.643998999999997,3.866,64.2,29.9,48.0,51.2,10.1,10,3,3,16,ROE 29%; low D/E 4; margin 17%; earnings +44%; rev +21%,strong promoter 64.2%; institutional 29.9%
BPCL,BHARAT PETROLEUM CORP  LT,Energy,308.70001220703125,21.17962031971264,7.700175,28.469,54.332,56.7,29.4,215.0,54.8,-0.3,12,1,3,16,21% below 52w high; ROE 28%; earnings +28%; rev +34%; PE 8,strong promoter 56.7%; institutional 29.4%
ZENSARTECH,ZENSAR TECHNOLOGIES  LTD,Technology,484.9500122070313,44.19126469941406,14.373147,17.627001,1.68,50.2,26.9,60.0,32.6,12.0,11,2,3,16,44% below 52w high; low D/E 2; PE 14,strong promoter 50.2%; institutional 26.9%
